,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
6450,MILLION DOLLAR A$$ (feat. Fler),9,2020-10-23,Katja Krasavice,https://open.spotify.com/track/3lDKN6dpCx4pAqjY5XT9aW,Germany,365752.0,0.827,0.878,1.0,-5.644,0.0509,0.0723,8.21e-06,0.0596,0.525,99.984,192000.0,Rap
6451,Babblarnas vaggvisa,9,2021-11-07,Babblarna,https://open.spotify.com/track/2AfIH7lNuwcbKBBfZH3ks5,Sweden,75231.0,0.307,0.234,11.0,-13.009,0.0321,0.828,9.87e-05,0.0959,0.335,186.402,334053.0,Pop
6452,dorothea,9,2020-12-11,Taylor Swift,https://open.spotify.com/track/3w9VRlKPvNxj40RdUGRweH,Canada,232041.0,0.607,0.488,4.0,-8.329,0.0264,0.694,0.0,0.129,0.361,119.953,225880.0,Country
6453,Junya,9,2021-08-29,Kanye West,https://open.spotify.com/track/1aF9TeHZbe6OVo9dtjPuzK,South Africa,26523.0,0.752,0.69,7.0,-3.948,0.0642,0.27,0.0,0.303,0.396,148.07,147669.0,Rap
6454,La Sacem de Florent Pagny,9,2018-11-23,Kalash Criminel,https://open.spotify.com/track/5bCDNKUxQgQM7b7OfQqmvD,France,147273.0,0.615,0.72,2.0,-5.805,0.366,0.452,0.0,0.071,0.172,122.939,187333.0,Rap
6455,GEISTERSTADT,9,2020-11-13,Capo,https://open.spotify.com/track/0AdW0WP7my1ggWaKBJHmr3,Germany,311173.0,0.684,0.729,1.0,-7.466,0.0387,0.263,3.2e-06,0.0727,0.348,118.002,220460.0,Rap
6456,Mama Ta Xinti,9,2020-03-12,Julinho Ksd,https://open.spotify.com/track/0JcH6gYb9AXehfiPeFE2wP,Portugal,23785.0,0.772,0.626,5.0,-7.371,0.357,0.55,0.000311,0.0948,0.544,96.128,181875.0,Rap
6457,A Thousand Bad Times,9,2019-09-06,Post Malone,https://open.spotify.com/track/3hFG4jR5stnIQJDI64KlJY,United States,2295134.0,0.632,0.732,6.0,-3.498,0.092,0.105,1.15e-05,0.111,0.317,159.0,221173.0,Pop
6458,PLAYSTATION (feat. Benny Jamz),9,2020-10-23,Carmon,https://open.spotify.com/track/5b4JFdbzCmFgAU9I2MMqBl,Denmark,60177.0,0.698,0.611,6.0,-8.091,0.356,0.0682,0.0,0.188,0.602,80.913,168889.0,Rap
6459,Heartbreaker,9,2021-10-20,Ant Wan,https://open.spotify.com/track/2JusqhuSgWouMe0CXAWcGN,Sweden,101027.0,0.702,0.588,3.0,-6.64,0.0486,0.0219,0.000393,0.0899,0.265,112.987,183064.0,Rap
