index,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
69,Penelope (feat. Clever),1,2020-10-03,william,https://open.spotify.com/track/677ly6xN6EUbIL8FPltKle,Finland,69671.0,0.795,0.673,9.0,-6.242,1.0,0.0365,0.0445,0.0,0.141,0.777,129.955,183702.0
70,Mojito,1,2020-06-18,Jay Chou,https://open.spotify.com/track/7BYMjh3vWnHU4IFyfZdIDO,Taiwan,44165.0,0.814,0.595,0.0,-7.726,1.0,0.0277,0.476,0.0,0.278,0.8,115.004,185008.0
71,On The Ground,1,2021-03-20,ROSÉ,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ,South Korea,16223.0,0.311,0.607,1.0,-6.578,1.0,0.11,0.0174,0.0,0.131,0.286,188.7,168086.0
72,Reggaetón Lento (Bailemos),1,2017-01-06,CNCO,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,Bolivia,6837.0,0.761,0.838,4.0,-3.073,0.0,0.0502,0.4,0.0,0.176,0.71,93.974,222560.0
73,Она тебя любит,1,2021-08-20,"SLAVA MARLOW, The Limba, Eldzhey",https://open.spotify.com/track/12fesH0q1KEBKyg0G9Yi2E,Russia,134895.0,0.888,0.457,4.0,-7.085,0.0,0.0732,0.0308,8.35e-05,0.0994,0.202,90.009,192000.0
74,ドライフラワー,1,2021-03-20,優里,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J,Japan,347367.0,0.463,0.624,7.0,-5.118,1.0,0.0274,0.426,0.0,0.221,0.521,147.929,285587.0
75,Antaudun,1,2017-04-07,Reino Nordin,https://open.spotify.com/track/4waYSI6TTW0guhTJc4gWzq,Finland,81065.0,0.534,0.715,1.0,-4.556,0.0,0.279,0.617,0.0,0.132,0.661,172.083,196923.0
76,Kiss Me More (feat. SZA),1,2021-05-13,Doja Cat,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK,New Zealand,55802.0,0.762,0.701,8.0,-3.541,1.0,0.0286,0.235,0.000158,0.123,0.742,110.968,208867.0
77,La Jeepeta - Remix,1,2020-06-18,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70,Spain,447900.0,0.815,0.715,4.0,-4.65,0.0,0.207,0.3,4.83e-06,0.091,0.786,176.007,345241.0
78,STOR MAND,1,2021-11-13,"Tobias Rahim, andreas odbjerg",https://open.spotify.com/track/56Ua2ypj5HWnotoIF3lEHc,Denmark,119784.0,0.66,0.666,5.0,-6.15,1.0,0.0507,0.178,0.0,0.275,0.503,145.916,183883.0
79,פסקול חיי,1,2021-03-20,Omer Adam,https://open.spotify.com/track/2qmJ2h1UdncRMPI2DMRWvK,Israel,20077.0,0.409,0.38,0.0,-6.953,0.0,0.0353,0.771,0.0,0.317,0.525,127.005,195501.0
80,Todo Mundo Vai Sofrer - Ao Vivo,1,2019-08-05,Marília Mendonça,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo,Brazil,402582.0,0.621,0.743,3.0,-3.864,1.0,0.0738,0.281,0.0,0.411,0.581,111.454,154661.0
81,Bandana,1,2021-10-24,"Big Baby Tape, kizaru",https://open.spotify.com/track/16AzcbKli3UQsxj491hJLQ,Russia,309975.0,0.747,0.577,5.0,-6.46,1.0,0.0336,0.00654,0.0412,0.167,0.346,102.993,151456.0
82,Bande organisée,1,2020-10-03,"Kofs, Soso Maness, Elams, Jul, SCH, Naps, Solda, Houari, 13 Organisé",https://open.spotify.com/track/205HNJ73cgpC0LAOnuQiWT,France,818194.0,0.901,0.939,6.0,-2.762,1.0,0.274,0.117,0.0,0.0643,0.805,142.948,356347.0
83,Last Christmas,1,2019-12-24,Wham!,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,Czech Republic,56333.0,0.735,0.478,2.0,-12.472,1.0,0.0293,0.189,2.48e-06,0.355,0.947,107.682,262960.0
84,079,1,2018-04-12,Lo & Leduc,https://open.spotify.com/track/3dfCKQy9JY2ixI58zTeUn9,Switzerland,38448.0,0.879,0.598,9.0,-5.698,1.0,0.0923,0.24,0.0,0.169,0.688,144.989,204472.0
85,Stuck with U (with Justin Bieber),1,2020-06-18,Ariana Grande,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,Singapore,27187.0,0.597,0.45,8.0,-6.658,1.0,0.0418,0.223,0.0,0.382,0.537,178.765,228482.0
86,Í Átt Að Tunglinu,1,2018-04-27,"JóiPé, Króli",https://open.spotify.com/track/4wBY9TNUoxtKiRh4JjAS7x,Iceland,14311.0,0.909,0.547,8.0,-6.819,1.0,0.251,0.316,0.00228,0.124,0.408,100.0,195612.0
87,Tusa,1,2019-12-24,"KAROL G, Nicki Minaj",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,Costa Rica,54534.0,0.803,0.715,2.0,-3.28,1.0,0.298,0.295,0.000134,0.0574,0.574,101.085,200960.0
88,The Business,1,2021-03-20,Tiësto,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN,Ireland,46693.0,0.798,0.62,8.0,-7.079,0.0,0.232,0.414,0.0192,0.112,0.235,120.031,164000.0
89,Sucker,1,2019-03-16,Jonas Brothers,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,Hungary,10351.0,0.842,0.734,1.0,-5.065,0.0,0.0588,0.0427,0.0,0.106,0.952,137.958,181040.0
